model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
thermo,linear,f4,old,5,322465,0.036889326,37.78021127,no counterexample
thermo,linear,f4,old,10,1398815,0.368889337,186.4054194,no counterexample
thermo,linear,f4,old,15,3730065,0.46060134,766.3373529,no counterexample
thermo,linear,f4,old,20,7802215,1.828983857,1040.455108,no counterexample
thermo,linear,f4,old,30,23113215,3.69141645,3404.062515,no counterexample
thermo,linear,f4,old,35,35324065,5.864489732,3603.409947,no counterexample
battery,linear,f1,old,5,39801,0.007734417,5.452274187,counterexample found
battery,linear,f1,old,10,150671,0.018633496,89.77854205,counterexample found
battery,linear,f1,old,15,388941,0.080468012,307.1123748,counterexample found
battery,linear,f2,old,5,49620,0.009204603,5.754947609,no counterexample
battery,linear,f2,old,10,169675,0.037002106,24.46734332,no counterexample
battery,linear,f2,old,15,418030,0.104380666,56.12781509,no counterexample
battery,linear,f2,old,20,848685,0.253719914,161.7095789,no counterexample
battery,linear,f2,old,25,1515640,0.475507786,154.4606039,no counterexample
battery,linear,f2,old,30,2472895,0.513485357,467.6468563,no counterexample
battery,linear,f2,old,40,5474305,0.992002664,6609.405595,no counterexample
battery,linear,f2,old,45,7626460,1.099271448,4845.969382,no counterexample
battery,linear,f3,old,5,335435,0.135891269,42.75465233,counterexample found
battery,linear,f3,old,10,1423370,0.241102845,456.7393474,counterexample found
battery,linear,f3,old,15,3766405,0.926353894,10313.78219,counterexample found
battery,linear,f4,old,5,694680,0.081906983,85.68410276,no counterexample
battery,linear,f4,old,10,3476660,0.610726962,5190.766143,no counterexample
